"cod";"lat";"lon";"name"
"244";"A920";"-11.375126";" -58.774785";"MT-Juina"
"245";"A928";"-13.038642";" -57.092200";"MT-NovaMaringá"
"246";"A929";"-13.411105";" -54.752144";"MT-NovaUbiratã"
"247";"A915";"-14.421327";" -54.035536";"MT-Paranatinga"
"248";"A937";"-15.234582";" -59.346215";"MT-PontesdeLacerda"
"249";"A935";"-15.324728";" -57.225845";"MT-PortoEstrela"
"250";"A916";"-12.627315";" -52.220891";"MT-Querência"
"251";"A907";"-16.462419";" -54.580151";"MT-Rondonópolis"
"252";"A936";"-15.124811";" -58.127100";"MT-SaltodoCéu"
"253";"A931";"-14.927883";" -53.883643";"MT-SantoAntoniodoLeste"
"254";"A921";"-11.619023";" -50.727856";"MT-SãoFélixdoAraguaia"
"255";"A903";"-13.453981";" -56.677323";"MT-SaoJosedoRioClaro"
"256";"A917";"-11.982245";" -55.565993";"MT-Sinop"
"257";"A904";"-12.555107";" -55.722863";"MT-Sorriso"
"258";"A902";"-14.650117";" -57.431556";"MT-TangarádaSerra"
"259";"A922";"-15.062696";" -59.872921";"MT-VilaBeladaSantissimaTrindade"
"260";"A201";"-1.411228";" -48.439512";"PA-Belém"
"261";"A226";"-1.047258";" -46.785790";"PA-Bragança"
"262";"A236";"-2.239653";" -49.499827";"PA-Cametá"
"263";"A248";"-1.73472";" -47.0575";"PA-CapitãoPoço"
"264";"A202";"-1.300875";" -47.947967";"PA-Castanhal"
"265";"A241";"-8.30361";" -49.28277";"PA-ConceiçãodoAraguaia"
"266";"A231";"-4.276978";" -55.993087";"PA-Itaituba"
"267";"A240";"-5.366447";" -49.051166";"PA-Marabá"
"268";"A209";"-3.510943";" -52.963450";"PA-Medicilandia"
"269";"A246";"-6.31980";" -55.7873";"PA-MinaPalito"
"270";"A239";"-2.0000";" -54.0758";"PA-MonteAlegre"
"271";"A235";"-4.243989";" -49.939308";"PA-NovoRepartimento"
"272";"A232";"-1.880789";" -55.519856";"PA-Óbidos"
"273";"A210";"-3.843701";" -50.638098";"PA-Pacajás"
"274";"A212";"-3.009932";" -47.343121";"PA-Paragominas"
"275";"A211";"-3.864040";" -54.216416";"PA-Placas"
"276";"A214";"-4.784470";" -48.071055";"PA-RondondoPara"
"277";"A215";"-0.618884";" -47.356596";"PA-Salinópolis"
"278";"A233";"-9.338611";" -50.35028";"PA-SantanadoAraguaia"
"279";"A230";"-6.077427";" -50.142265";"PA-SerradosCarajas"
"280";"A227";"-0.727827";" -48.515795";"PA-Soure"
"281";"A213";"-2.592606";" -48.360585";"PA-ToméAçu"
"282";"A229";"-3.822760";" -49.674956";"PA-Tucurui"
"283";"A310";"-6.975451";" -35.718128";"PB-Areia"
"284";"A348";"-7.483206";" -36.286469";"PB-Cabaceiras"
"285";"A352";"-6.561813";" -35.135316";"PB-Camaratuba"
"286";"A313";"-7.225574";" -35.904831";"PB-CampinaGrande"
"287";"A320";"-7.165409";" -34.815627";"PB-JoãoPessoa"
"288";"A334";"-7.894465";" -37.124704";"PB-Monteiro"
"289";"A321";"-7.079814";" -37.272852";"PB-Patos"
"290";"A333";"-6.835777";" -38.311583";"PB-SãoGonçalo"
"291";"A309";"-8.433544";" -37.055477";"PE-ArcoVerde"
"292";"A329";"-8.504000";" -39.315280";"PE-Cabrobó"
"293";"A341";"-8.236069";" -35.985550";"PE-Caruaru"
"294";"A351";"-8.61028";" -38.5922";"PE-Floresta"
"295";"A322";"-8.910950";" -36.493381";"PE-Garanhuns"
"296";"A349";"-8.509552";" -37.711591";"PE-Ibimirim"
"297";"A366";"-7.88472";" -40.1011";"PE-Ouricuri"
"298";"A357";"-8.666667";" -35.567921";"PE-Palmares"
"299";"A307";"-9.388323";" -40.523262";"PE-Petrolina"
"300";"A301";"-8.059280";" -34.959239";"PE-Recife"
"301";"A350";"-7.954277";" -38.295082";"PE-SerraTalhada"
"302";"A328";"-7.839628";" -35.801056";"PE-Surubim"
"303";"A336";"-8.441598";" -43.865443";"PI-AlvoradadoGurgeia"
"304";"A326";"-9.0833333";" -44.3263889";"PI-BomJesusdoPiaui"
"305";"A365";"-8.117939";" -42.975721";"PI-CantodoBuriti"
"306";"A337";"-9.285880";" -43.324438";"PI-Caracol"
"307";"A361";"-5.349228";" -41.512274";"PI-CastelodoPiaui"
"308";"A338";"-3.899365";" -42.259483";"PI-Esperantina"
"309";"A311";"-6.761438";" -43.003396";"PI-Floriano"
"310";"A364";"-9.875196";" -45.345805";"PI-Gilbués"
"311";"A354";"-6.974135";" -42.146831";"PI-Oeiras"
"312";"A308";"-3.086656";" -41.783139";"PI-Parnaíba"
"313";"A330";"-8.132288";" -41.142945";"PI-Paulistana"
"314";"A343";"-7.071016";" -41.404042";"PI-Picos"
"315";"A335";"-4.276047";" -41.794568";"PI-Piripiri"
"316";"A331";"-8.364977";" -42.250369";"PI-SãoJoãodoPiaui"
"317";"A362";"-5.911033";" -42.718729";"PI-SãoPedrodoPiaui"
"318";"A345";"-9.033211";" -42.701112";"PI-SãoRaimundoNonato"
"319";"A312";"-5.034769";" -42.801341";"PI-Teresina"
"320";"A346";"-7.441420";" -44.345055";"PI-Uruçui"
"321";"A363";"-6.399274";" -41.739953";"PI-ValençadoPiaui"
"322";"A819";"-24.786954";" -49.999266";"PR-Castro"
"323";"A869";"-23.359156";" -52.931912";"PR-CidadeGaucha"
"324";"A876";"-26.417200";" -52.348741";"PR-Clevelandia"
"325";"A807";"-25.448688";" -49.230602";"PR-Curitiba"
"326";"A849";"-22.639366";" -52.890156";"PR-DiamantedoNorte"
"327";"A843";"-25.699063";" -53.095273";"PR-DoisVizinhos"
"328";"A846";"-25.601834";" -54.483065";"PR-FozdoIguaçu"
"329";"A875";"-26.398473";" -51.353670";"PR-GeneralCarneiro"
"330";"A825";"-24.158460";" -53.030594";"PR-Goioere"
"331";"A824";"-23.390380";" -53.635933";"PR-Icaraima"
"332";"A847";"-25.494522";" -48.326041";"PR-IlhadoMel"
"333";"A823";"-25.567879";" -51.077946";"PR-InácioMartins"
"334";"A818";"-25.010757";" -50.853853";"PR-Ivai"
"335";"A871";"-23.773341";" -50.180570";"PR-Japira"
"336";"A821";"-23.505266";" -49.946387";"PR-JoaquimTávora"
"337";"A820";"-24.533303";" -54.019248";"PR-MarechalCandidoRondon"
"338";"A835";"-23.405357";" -51.932828";"PR-Maringá"
"339";"A873";"-25.508935";" -48.808681";"PR-Morretes"
"340";"A842";"-23.415284";" -50.577744";"PR-NovaFátima"
"341";"A822";"-24.437346";" -51.963020";"PR-NovaTebas"
"342";"A850";"-22.658273";" -52.134526";"PR-Paranapoema"
"343";"A855";"-25.721863";" -53.747920";"PR-Planalto"
"344";"A874";"-25.835604";" -50.368994";"PR-SãoMateusdoSul"
"345";"A872";"-24.280394";" -50.210150";"PR-Ventania"
"346";"A606";"-22.975468";" -42.021450";"RJ-ArraialdoCabo"
"347";"A604";"-21.587729";" -41.958327";"RJ-Cambuci"
"348";"A607";"-21.714767";" -41.344017";"RJ-Campos"
"349";"A620";"-22.041647";" -41.051871";"RJ-Campos-SãoTomé"
"350";"A603";"-22.589806";" -43.282233";"RJ-DuquedeCaxias-Xerem"
"351";"A608";"-22.376318";" -41.812053";"RJ-Macaé"
"352";"A624";"-22.334839";" -42.676932";"RJ-NovaFriburgo"
"353";"A619";"-23.223540";" -44.726863";"RJ-Parati"
"354";"A610";"-22.464889";" -43.291505";"RJ-Petropolis-PicodoCouto"
"355";"A609";"-22.450924";" -44.444786";"RJ-Resende"
"356";"A652";"-22.988286";" -43.190436";"RJ-RiodeJaneiro-FortedeCopacabana"
"357";"A602";"-23.050334";" -43.595685";"RJ-RiodeJaneiro-Marambaia"
"358";"A621";"-22.861322";" -43.411410";"RJ-RiodeJaneiro-VilaMilitar"
"359";"A601";"-22.757868";" -43.684843";"RJ-Seropédica-EcologiaAgrícola"
"360";"A618";"-22.448922";" -42.987146";"RJ-Teresópolis-ParqueNacional"
"361";"A611";"-22.358094";" -43.695656";"RJ-Valença"
"362";"A340";"-5.626559";" -37.814991";"RN-Apodi"
"363";"A316";"-6.467474";" -37.084931";"RN-Caicó"
"364";"A344";"-5.159925";" -35.487616";"RN-Calcanhar"
"365";"A317";"-5.151035";" -36.573142";"RN-Macau"
"366";"A318";"-4.904087";" -37.366943";"RN-Mossoro"
"367";"A304";"-5.837187";" -35.207921";"RN-Natal"
"368";"A367";"-6.227922";" -36.026587";"RN-SantaCruz"
"369";"A940";"-9.949001";" -62.961873";"RO-Ariquemes"
"370";"A939";"-11.445837";" -61.434146";"RO-Cacoal"
"371";"A925";"-8.793662";" -63.845931";"RO-PortoVelho"
"372";"A938";"-12.734862";" -60.157784";"RO-Vilhena"
"373";"A135";"2.816897";" -60.690821";"RR-BoaVista"
"374";"A826";"-29.709083";" -55.525486";"RS-Alegrete"
"375";"A827";"-31.3478";" -54.0133";"RS-Bagé"
"376";"A840";"-29.164581";" -51.534202";"RS-BentoGonçalves"
"377";"A812";"-30.545317";" -53.467050";"RS-CaçapavadoSul"
"378";"A838";"-30.807953";" -51.834240";"RS-Camaquã"
"379";"A884";"-29.674293";" -51.064042";"RS-CampoBom"
"380";"A879";"-29.368788";" -50.827231";"RS-Canela"
"381";"A811";"-31.403299";" -52.700699";"RS-Canguçu"
"382";"A899";"-33.742297";" -53.372218";"RS-Chui"
"383";"A853";"-28.603440";" -53.673597";"RS-CruzAlta"
"384";"A881";"-30.992475";" -54.815270";"RS-DomPedrito"
"385";"A828";"-27.657710";" -52.305805";"RS-Erechim"
"386";"A854";"-27.395686";" -53.429421";"RS-FredericoWestphalen"
"387";"A883";"-28.653458";" -53.111881";"RS-Ibirubá"
"388";"A836";"-32.534825";" -53.375860";"RS-Jaguarão"
"389";"A844";"-28.222381";" -51.512845";"RS-LagoaVemelha"
"390";"A878";"-31.248279";" -50.906279";"RS-Mostardas"
"391";"A856";"-27.920379";" -53.318049";"RS-PalmeiradasMissões"
"392";"A839";"-28.226805";" -52.403582";"RS-PassoFundo"
"393";"A801";"-30.053536";" -51.174766";"RS-PortoAlegre"
"394";"A831";"-30.368578";" -56.437115";"RS-Quarai"
"395";"A802";"-32.078780";" -52.167738";"RS-RioGrande"
"396";"A813";"-29.872113";" -52.381980";"RS-RioPardo"
"397";"A803";"-29.724960";" -53.720469";"RS-SantaMaria"
"398";"A810";"-27.890463";" -54.480014";"RS-SantaRosa"
"399";"A833";"-29.191599";" -54.885653";"RS-Santiago"
"400";"A805";"-27.854345";" -53.791179";"RS-SantoAugusto"
"401";"A830";"-28.650092";" -56.016291";"RS-SãoBorja"
"402";"A832";"-30.341450";" -54.310917";"RS-SãoGabriel"
"403";"A829";"-28.748634";" -50.057880";"RS-SãoJosédosAusentes"
"404";"A852";"-28.417113";" -54.962403";"RS-SãoLuizGonzaga"
"405";"A837";"-28.859211";" -52.542387";"RS-Soledade"
"406";"A882";"-29.450334";" -51.824283";"RS-Teutonia"
"407";"A808";"-29.350359";" -49.733263";"RS-Torres"
"408";"A834";"-30.010268";" -50.135887";"RS-Tramandai"
"409";"A809";"-29.839870";" -57.081899";"RS-Uruguaiana"
"410";"A880";"-28.513602";" -50.882738";"RS-Vacaria"
"411";"A867";"-28.931353";" -49.497920";"SC-Ararangua"
"412";"A859";"-26.819156";" -50.985520";"SC-Caçador"
"413";"A860";"-27.288624";" -50.604283";"SC-Curitibanos"
"414";"A848";"-26.286562";" -53.633114";"SC-DionisioCerqueira"
"415";"A806";"-27.602530";" -48.620096";"SC-Florianopolis-SãoJosé"
"416";"A817";"-26.913704";" -49.267978";"SC-Indaial"
"417";"A868";"-26.950924";" -48.762031";"SC-Itajai"
"418";"A851";"-26.081303";" -48.641774";"SC-Itapoá"
"419";"A863";"-27.418410";" -49.646874";"SC-Ituporanga"
"420";"A841";"-27.169268";" -51.558963";"SC-Joaçaba"
"421";"A865";"-27.802205";" -50.335473";"SC-Lages"
"422";"A864";"-26.393664";" -50.363211";"SC-MajorVieira"
"423";"A845";"-28.126992";" -49.479610";"SC-MorrodaIgreja(BomJardimdaSerra)"
"424";"A816";"-26.406499";" -52.850366";"SC-NovoHorizonte"
"425";"A861";"-26.937526";" -50.145445";"SC-RiodoCampo"
"426";"A862";"-26.248411";" -49.580624";"SC-RioNegrinho"
"427";"A866";"-28.604414";" -48.813313";"SC-SantaMarta"
"428";"A815";"-28.275640";" -49.934617";"SC-SãoJoaquim"
"429";"A857";"-26.776699";" -53.504541";"SC-SãoMigueldoOeste"
"430";"A814";"-28.532557";" -49.315205";"SC-Urussanga"
"431";"A858";"-26.938666";" -52.398090";"SC-Xanxerê"
"432";"A409";"-10.952413";" -37.054330";"SE-Aracaju"
"433";"A421";"-10.473959";" -36.482051";"SE-BrejoGrande"
"434";"A420";"-10.399719";" -37.747503";"SE-Carira"
"435";"A417";"-11.2725";" -37.795";"SE-Itabaianinha"
"436";"A419";"-10.738020";" -38.108389";"SE-PoçoVerde"
"437";"A736";"-21.132937";" -48.840426";"SP-Ariranha"
"438";"A725";"-23.101749";" -48.940997";"SP-Avaré"
"439";"A741";"-22.471205";" -48.557573";"SP-BarraBonita"
"440";"A746";"-24.962819";" -48.416379";"SP-BarradoTurvo"
"441";"A748";"-20.559175";" -48.544997";"SP-Barretos"
"442";"A755";"-23.52389";" -46.86945";"SP-Barueri"
"443";"A705";"-22.358052";" -49.028877";"SP-Bauru"
"444";"A706";"-22.750231";" -45.603836";"SP-CamposdoJordão"
"445";"A738";"-21.78056";" -47.07528";"SP-CasaBranca"
"446";"A708";"-20.584475";" -47.382549";"SP-Franca"
"447";"A737";"-21.855567";" -48.799717";"SP-Ibitinga"
"448";"A712";"-24.671654";" -47.545896";"SP-Iguape"
"449";"A714";"-23.981918";" -48.885818";"SP-Itapeva"
"450";"A739";"-22.415062";" -46.805292";"SP-Itapira"
"451";"A753";"-20.35976";" -47.77522";"SP-Ituverava"
"452";"A733";"-20.165025";" -50.595134";"SP-Jales"
"453";"A735";"-21.085675";" -49.920388";"SP-JoséBonifácio"
"454";"A727";"-21.666045";" -49.734854";"SP-Lins"
"455";"A745";"-24.047845";" -46.263340";"SP-Moela"
"456";"A716";"-22.949000";" -49.894546";"SP-Ourinhos"
"457";"A726";"-22.703132";" -47.623317";"SP-Piracicaba"
"458";"A747";"-21.338432";" -48.114007";"SP-Pradópolis"
"459";"A707";"-22.119867";" -51.408637";"SP-PresidentePrudente"
"460";"A718";"-22.372832";" -50.974710";"SP-Rancharia"
"461";"A711";"-21.980353";" -47.883927";"SP-SãoCarlos"
"462";"A740";"-23.228362";" -45.417055";"SP-SãoLuisdoParaitinga"
"463";"A715";"-23.852022";" -48.164817";"SP-SãoMiguelArcanjo"
"464";"A701";"-23.496294";" -46.620088";"SP-SãoPaulo-MirantedeSantana"
"465";"A713";"-23.426035";" -47.585552";"SP-Sorocaba"
"466";"A728";"-23.041668";" -45.520841";"SP-Taubaté"
"467";"A734";"-21.319138";" -50.930158";"SP-Valparaiso"
"468";"A729";"-20.403221";" -49.966031";"SP-Votuporanga"
"469";"A021";"-7.103954";" -48.201231";"TO-Araguaina"
"470";"A044";"-5.643725";" -48.111839";"TO-Araguatins"
"471";"A043";"-8.154665";" -46.639323";"TO-CamposLindos"
"472";"A038";"-11.594448";" -46.847209";"TO-Dianópolis"
"473";"A039";"-11.887377";" -49.608215";"TO-FormosodoAraguaia"
"474";"A019";"-11.745782";" -49.049703";"TO-Gurupi"
"475";"A041";"-9.576389";" -49.72333";"TO-MarianópolisdoTocantins"
"476";"A040";"-10.43444";" -45.92194";"TO-Mateiros"
"477";"A009";"-10.190744";" -48.301811";"TO-Palmas"
"478";"A010";"-12.614893";" -47.871917";"TO-Paranã"
"479";"A020";"-8.968677";" -48.177259";"TO-PedroAfonso"
"480";"A018";"-12.015377";" -48.544517";"TO-Peixe"
"481";"U560";"-34.4510";" -57.7675";"UY-Colonia"
"482";"U565";"-34.4936";" -54.3124";"UY-Rocha"
